label,content
positif,memenuhi semua kebutuhan
negatif,"banyak lagi dong coin nya jgn kecil"" Mulu"
negatif,"jujur sangat kecewa sebagai pengguna shopee, apalagi sama seluruh karyawan yang ada di DC bandung (nanjung), sering ada kehilangan tapi semua lalay gaada timbal balik atau itikad baik buat mengembalikan atau memperbenah cctv. seperti ada kesengajaan permainan karyawan yang bekerja di dalam. sumpah kecewa sama seluruh pegawai"
positif,like 10.000.000 kali
positif,"bagus, belanja mudah, cepat, dan semua ada"
negatif,"Saat awal buka aplikasi, knp lgsg diarahkan ke video ? Tidak semua org buka aplikasi, pingin nonton video, mana suaranya terlalu tinggi dan mengganggu"
positif,sangat mantapp
positif,keren mempermudah hal yang urgent
positif,Bagus banget Game Shope nya
netral,kasih 2bintang dulu TPI jika di ACC baru bintang 5
positif,"aku sangat senang dan suka memakai shopee, sudah pakai sejak awal2 muncul, namun.... sangat di sayangkan, spailater dan spinjamnya TIDAK BERTAMBAH2 JUGAğŸ˜…ğŸ˜…, mohon berikan limit yg baik karna saya sebagai pengguna sangat sadar dan tdk pernah mengalami denda. ğŸ™ğŸ™ sukses selalu keranjang orange."
positif,ok siapp
positif,suka banget kalo ongkir 0 rupiah .. semangat terus Sophee sukses selalu..â¤ï¸
positif,"selama saya menggunakan apk ini puas, dan saya sering pakai cara pembayaran COD karna gak ribet"
positif,ok
positif,ok
positif,puas bngt sich
positif,mantap baget hargaya
positif,sanggat membantu
positif,"UP GRADEnya keren sangat membantu ,ğŸ‘Œ"
positif,rekomendasi banget banyak diskonya
netral,yayayayab
positif,sangat berguna.
positif,shopee mantap deh
positif,trimakasi
positif,barang sudah d trima Alhamdulillah sesuai dg pesanan
positif,terimakasih akhirnya akun saya dapat digunakan kembali ğŸ™ğŸ»
positif,pesanan sesuwai
positif,Belanja menjadi sangat mudah melalui Shopee
positif,pengiriman cepat ulasan barang terlihat jelas jadi pembeli bisa memilih yang terbaik
positif,terimakasih sangat membantu sya belanja
positif,sanat bagus untuk yang suka belanja online
negatif,kenapa kalo iklan di game selalu di paksain masuk pley store itu sangat ga enak
negatif,iklan anj
positif,sangat bagus
positif,sangat membantu
positif,ok
positif,mantap aplikasi yang banyak diskon dan jadi mudah segalanya..
positif,mantap
positif,"sangat sangat membantu , dan bisa juga buat kita banding banding harga"
positif,ok
positif,mantap
negatif,iklan Mulu lu anjiing
positif,"Belanja secara online? di Shopee sj, memuaskan dan tdk mengecewakan, pengembalian dana juga baik jika ada barang yang tdk sesuai dgn apa yg kita lihat di iklannya.. Belanja??? di Shopee aja..."
positif,shopee mantap banyak gratis ongkir walaupun belanja sedikit..tingkatkan terus ya
negatif,"cih aku pesan barang lama banget ,pas aku beli barang gak sesuai expetasi ngebuat kastemer kecewa."
positif,Makin mantap
positif,mudahan rezekinya
positif,keren aplikasi shope mudah berbelanja tanpa harus keluar rumah sukses selalu
positif,oke
positif,Pokoke oke
netral,"bissmillah semoga bisa membantu sy dlm berbelanja on line, bisa bantu sy dlm menjalankan usaha yg sedang sy jalankan"
netral,lumayan
netral,"Aplikasi trbaik, tapi sulit dibuka, berhari-hari g Bisa dibuka,mau belanja jadi sulit, admin mohon perbaikannya, g seperti shoppepay offline aja bisa dibuka apalagi online, cuma Shopee yg sulit dibuka g seperti aplikasi lainnya"
negatif,"pesanan bukan cod barang belum sampai tp keterangan sudah sampai ditrima yg bersangkutan, ga ada konfirmasi ap2 lewat wa, giliran komplain katanya demi target, iya karna kalau keterlambatan ga sesuai estimasi costomer dapat vocer 10.000 tp kalau sesuai costomer ga dapat vocer makanya status diubah sampai biar shopee ga rugi ngasih vocer 10.000 ke pelanggan, bukan soal 10.000 ribu tp soal kejujuran.."
positif,mantap..pelayanan sangat ok..barang yg d pesen semua pick..sesuai..mantap
netral,"aplikasi nya bagus bagus aja cuman kalo buka link/atau mau download sesuatu tiba tiba aplikasinya kebuka sendiri. plis deh ga semua orang kudu beli barang di shopee buru buru. aku mau buka link susah, buka chrome susah tiba tiba muncul aplikasi ini sendirinya ke buka. benerin lagi deh pengiklanannya plis jangan tiba tiba buka pas orang lagi sibuk sibuknya. ngeselin"
positif,aplikasi yang bagus dan berguna untuk keperluan sehari hari
negatif,Shopee Tolol cuma ganti pembayaran promo nya ke copot padahal bisa pake promo nya pembayaran apa aja.
positif,bagus
netral,smoga aplikasinya brjln dngn baikadnyağŸ‘
netral,belum di download
negatif,kelamaan proses pengiriman saldo
netral,ulasan .
positif,mantap la pokoknya
negatif,TDK sesuai realita
positif,sangat bagus
netral,"akun saya di batasi dengan alasan transaksi tidak wajar, tolong di perbaiki!"
positif,terbaik ğŸ˜
negatif,"Kenapa pesan instan dihilangkan? Merepotkan saja, tidak fleksibel makin lama makin di Update bikin tambah lemot, isi token malah dihilangkan namanya bikin orang salah memasukan isi ulang token sangat tolol!!!"
positif,apk nya sangat baguus
positif,bagusssssğŸ‘
positif,mantap pro
positif,tempat belanja paling komplit se dunia
netral,"Terima kasih shopee, semoga all team di berikan kesehatan selalu,semakin sukses, sejahtera dan jaya."
positif,bagus
positif,saya suka shopee bagus
positif,mantap
positif,"belanja di shopee sangat memuaskan, apalagi sekarang voucher gratis ongkir 0 Rp buuuanyak bgt ... pertahankan agar semakin banyak pelanggan yang puas."
positif,mantap aplikasi nya
negatif,hilangkan saja fitur otp sms jika kau tidak mengirim kode otpnya ke sms anj
negatif,mantap banget kak keluar kondar nyağŸ‘ğŸ‘ğŸ‘katanya berizin dan diawasi ojk tapi penagihan nya barbar banget kek pinjol ilegal
positif,sangat recommended buat belanja d sini
positif,bagus
positif,mantap
positif,memuaskan terimakasih Shopee
negatif,pelit diskon ongkirnya
positif,bagus
negatif,harga barang mahal tidak ada kupon diskon
positif,Aku pengguna baru ku kasih bintang 4 dlu ya sejauh ini oke semua terjangkau dari harga ongkir dan kwalitas sesuai yg tertera tolong dipertahankan ya kakak terimakasih ğŸ™ (edit kak) makasih pelayanan bagus harga terjangkau untuk pengiriman mohon ditingkatkan lagi makasih
positif,apl yg sangat apik
netral,Alhamdulillah shopee amanah
positif,"untuk versi terbaru lumayan sedikit smooth meski agak berat juga pas pertama loading dan skrol menu. SARAN & MASUKAN; Di bagian penilaian dan ulasan di menu ( Dgn Foto/Video ) terasa berat banget pas mau lihat gambar atau video nya, terkadang kaya lag gak bisa di skrol, padahal versi sebelum nya tidak seperti ini mohon ini untuk di tinjau lagi dan diperbaiki. terimakasih"
positif,shoope bagus
negatif,"apliasi bajinga penipu barang udah du return uang tidak mau di kembalikan,hati hati yang belanja di sini sakarang,aku udah kenak"
positif,sukaaa
positif,"cepat,rapih,ongkir murah,di imbangi kurirnya sopan,,,,jos gandos"
positif,ok
positif,ok
negatif,Makin kesini makin ga nyaman........jd lemot.banyak bug....malah lg br sadar ad banyak biaya tambahan.....biaya adm.biaya layanan...makin gede
netral,"INF0 CS.INDODAX BANTUAN.O.8.I.3.2.O.6.6.6.S.S Jika ad indikasi Penipuan Dll, Terkait lND0DAX. segera Laporkan ke nomor layanan pusat untuk meminta pemblokiran rek pen!pu dan pembekuan sementara."
positif,mantap
positif,tempat belanja on line yg baik
positif,jos
positif,Gak mengecewakan
negatif,Makin kesini shoope makin JELEK. makin kesini makin besar potongan untuk seller. capai 21%
positif,"Terima kasih buat shopee, seller dan kurir nya."
positif,senangg
negatif,"bagus banget sih. Tapi iklannya ngejak ribut, jari ga ngapa ngapain kok tiba2 masuk ke shopee. RISIH NJIR"
negatif,"tiap buka aplikasi nyangkut mulu di live& video,udh klik ke berada juga suara videonya nyala teroosss,jd tiap buka kesel juga males."
positif,muantab
negatif,"Shopee makin parah jasa pengirimanX mentang2 orderan dibawah 20rb ndak mau diantar dengan alasan di""pembeli menjadwalkan ulang waktu pengiriman""padahal pihak kurir tdak pernah menghubungi pembeli sekalipun tentang alamat pembeli tau2 barang dikembalikan gara2 pembeli tidak merespon"
negatif,"kalo ngga prioritas mesti kena double order, payah"
positif,sangat puas
positif,pastikan terbaik untuk pelanggan
netral,"Dulu shopee memberikan akses/fitur kepada pembeli untuk bisa melakukan blokir kepada penjual dan sekarang pihak shopee sebagai pembeli tidak ada lagi fitur blokir untuk penjual,Dan seharusnya pihak shopee membuat semua adil dan seimbang dari pihak pembeli akses fitur blokir dihilangkan dan seharusnya dari pihak penjual juga dihilangkan akses fitur blokir,Karena dari pihak penjual di shopee bisa sesuka hati melakukan blokir secara sepihak kepada pembeli dengan seenaknya,Tidak ADIL pihak shopee!!!"
positif,saya suka aplikasinya
positif,ok matap
negatif,Bintang 1 aja sih cocoknya ini aps
positif,trimakasih aplikasinya
positif,membantu berbelanja
positif,mempermudah proses pembayaran
positif,apk sangat membantu dan mudah digunakan sukses dan jaya untuk shopee..
positif,mantap
netral,min tolong tambahkan bank CIMB niaga dong untuk metode pembayaran
positif,"aplikasi belanja shopee sangat membantu sekali,, Jangan ragu beli di sini, mudah, hemat ,cepat. Sukses terus buat shopee."
negatif,"Shopee tolong fairplay, kenapa giliran seller curang rate ku disembunyikan. Harusnya ditelaah /dipelajari dulu siapa yg curang? Atau siapa yg salah âŒ. Jangan langsung main sembunyikan rate dong."
netral,banyak pro d
positif,terimakasih saldonya bisa ditarik benar
positif,memuaskan
positif,"wajib donload sih,keren bmgt apk nya,cara pembayaran nya gampang, kslo cod tinggal qris,mudah bngt pemesannya ga ribet,mudah di mengerti,selalu bikin puas,, mau cari apa aja pasti ad di shope,,shope emang kerenğŸ˜š"
negatif,aplikasi tolol
negatif,pasti awal bulan banyak bag susah liat kokon komen Spil barang susah
positif,baguss sii
positif,"terima kasih sopee belanja online jadi menyenangkan, semua ada di sini"
netral,"hai yang baca komen gw , baca aja bang gw gabut"
positif,"sangat membantu , mudah mengaksesnya gak ribet ..."
negatif,"SUNGGUH MENGECEWAKAN DAN SANGAT BURUK PELAYANAN CUSTOMER SERVICE KALIAN, KALIAN KAN PUNYA TEAM IT YG BAGUS DAN KALIAN PERUSHAAN BESAR, CUMA KARENA 150RIBU, KALIAN TIDAK BISA MENCARI CASE SEPERTI INI, BURUK DAN SANGAT BURUK, SUNGGUH MENGECEWAKAN, ZERO PELAYANAN"
positif,ok...ğŸ‘
positif,bnyak brang yg d jual sangat membantu
negatif,"tolong respon yg cepat, pembelian paket data sdh 24 jam gak masuk2, pending terus mau hub CS ribet bgt"
positif,sangat membantu sekali
positif,mantap jiwa ğŸ‘ğŸ‘ğŸ‘
positif,sangat baguss
netral,kalo maslaha pemesanan bagus cuma tolong itu kalo mau bikin akun susah banget ribet jadi tolong di permudah itu sajağŸ™
netral,"yang suka buat kecewa itu, suka salah ngasih info, katanya pesenan kita, setelah dicek dgn teliti ternyata punya orang lain,harus lebih teliti lagi ya dalam pengecekan nya"
positif,"mantull,pelayanan kerenn"
negatif,"Saya beli sepatu di bulan juli, tetapi yg di kirim baju, saya sudah kirim balik dan sesuai prosedur shopee, saya memenuhi syarat pengembalian barang, barang saya kirim balik sejak 17 juli 2025, tetapi sampai sekarang tgl 1 Sept 2025 saat saya buat tulisan ini saya belum mendapatkan pengembalian dana saya. Saya hubungi penjual katanya prosedur penjualan sudah sesuai, saya di suruh komplain lewat CS Shopee, tapi ya gitu yg jawab robot IA. cari2 email-nya Shopee tdk nemu, nilainya hampir 500rb"
negatif,merugikan seller dengan fitur pengembalian barang yang dipesan pembeli. Semoga segera ada solusi jalan keluar yang sama sama tidak merugikan. Terutama mengenai dibebankannya biaya kirim oleh penjual.
positif,bagus banget aplikasi ini
positif,ok
positif,sangat rekomendasi
positif,pesan mudah interaksi ke penjual gampang pilihan produk banyak pengembalian kelebihan bayar oke... bisa COD bisa juga Paylater bisa juga cicilan...he...
negatif,"ribet,pake suruh verifikasi wajah. orang dulu pake ip jelas wajah kelihatan lebih jelas,ini pindah ke android udah beberapa kali nyoba tetep aja ga bisa. dongo apa ini apk"
negatif,knapa login ya kluar Mulu lelet .
positif,mantap
netral,"selamat malam developer shopee,,,, barusan saya mengisi pulsa 5 ribu lewat aplikasi shopee,,,,,saldo shopeepay saya sudah berkurang 5 ribu tetapi pulsa 5 ribu saya tidak kunjung datang,,,, mohon penjelasannya developer shopee"
positif,top
positif,terbaik
negatif,kenapa potongan semakin besar Shopi kami tercekik dengan potongan administrasi.tolong kebijakanya lebih di fikirkan untuk kami UMKM. mohon responya
positif,"shopee makin hebat pengiriman cepat, amanah barang""semua ada apa yg kita perlukan semua ada di shopee, Terima kasih shopee."
positif,tinggal pencet ..barang datang beragam yg mau di beli mudah d cari
positif,sesuai dengan kebutuhan
positif,good aplikasi shope
positif,"Merasa terbantu belanja dishopee,nggak harus datang ketoko,kalau barang nggak sesuai pesanan bisa ngajuin pengembalian,cukup tunggu dirumah,barang sampai"
negatif,"sekarang aplikasi ini jelek bgt. tiap login pasti otomatis masuk ke tiktok live, bikin kaget. Dan lemotnya naudzubillah, padahal ruang penyimpanan masih banyak, sinyal ok. tolong di perbaiki lagi, jadi males belanja di sini.."
positif,shopee keren banget ğŸ‘
positif,Hallo semua aku pelanggan setia Shoppe.Senang sekali dengan adanya shoppe belanja jadi lebih mudah dan harganya pun jauh lebih murah.tidak takut kena tipu2 karna jika barang tidak sesuai dapat dikembalikan dengan proses mudah dan cepat . sukses terus buat shoppeğŸ‘ğŸ»â¤ï¸
negatif,sering los koneksi buka langsung video
netral,"lumayan sekarang paket di shopee lebih di perhatikan kembali,buat kurir yg kirim bantu kabari buyer nya dong,biar tau paket ya Samapi jam berapa klo bisa via WA,jadi kami buyer/pemesan tau kapan paket ya terkirim jam berapa sampai nya"
positif,pengiriman dengan kondisi barang terbaik
positif,oke cocok
positif,belanja di shopee sangat memuaskan.Terimakasih shopee
positif,Bagus untuk di gunakan
positif,"suka banget , cuma belum bisa pakai spaylater"
netral,Deskripsikan pengalaman Anda(opsional)
negatif,kenapa tidak bisa buat cod
positif,memudahkan untuk belanja ..dan berharap shoope tetep konsisten untuk melayani pelanggan
negatif,"Please... kalau buka aplikasi shopee pertama kali jangan langsung ke video, aplikasi jadinya lemot. Mau ke beranda aja berat ğŸ™ğŸ™ğŸ™ Ini aplikasi sudah saya update event 9.9 malah tidak bisa buka beranda"
netral,ğŸ‘
positif,mantap
positif,bagus dan bermanfaat banget untuk kaum rebahan seperti saya
positif,murah dan gratis ongkir
positif,Alhamdulillah semenjak ada shopee saya gk pernah belanja kemana mana selain ke shopee trima kasih banyak shopee smg semakin sukses & maju kedepannya ğŸ¤²ğŸ™jujur sy gk pernah kecewa klo belanja di shopee ini malahan saya semakin senang karna harganya terjangkau dan murah lg ğŸ‘ğŸ‘ğŸ¤—ğŸ¤—ğŸ¤—
netral,ğ’”ğ’‰ğ’ğ’‘ğ’†ğ’† ğ’Œğ’“ğ’†ğ’ ğ’ƒğ’ğ’ˆğ’•
positif,sangat membantu
positif,sangat menguntungkan
positif,apk terbaik sampai dengan saat ini
positif,ketika saya complan barang shope menyelesaikannya dengan cepat tanpa ribet dan berbelit pokoknya shope yg terbaik saya akan terus memakainya.
positif,"mantap lah,oke banget"
positif,Bagus no pokonya ğŸ¤£
negatif,bisa ga sih GX usah nampilin iklan
positif,aplikasi nya sangat bagus
positif,baru kali pertama...top markotop
positif,harapnya Shopie lebih maju dan lebih terbaik lagi
negatif,tiba tiba paylater sama spinjam menghilang dari line
positif,ok
positif,Bagus lah
negatif,kenapa akun paylater di bekukan terus menerus padahal sudah lama sekali dan sudah di bayar lunas tolong di bantu ğŸ™ apa bisa di buka pembekuan nya atau saya yg harus mengganti akun yg baru lgi min ğŸ™
positif,Aplikasi sangat bagus tapi sering sering kasih diskon ya biar pelanggan lebih semangat untuk belanja
positif,sangat bagus dan pengiriman nya cepat
positif,oke bgt
positif,"Suka belanja karena gratis ongkir untuk pembelian yang sudah ditentukan, terlebih apa aja ada di shopee, pokoknya lengkap. Sukaâ¤"
positif,"pengiriman aman & cepat, terima kasih"
positif,sippppp lh
positif,shopee memang keren tolong banyakin promonya sama voucher juga
negatif,ini gimana katanya habis din perbarui malah video iklan menganggu dan gak bisa belanja. kecewaaaaaaaaa
positif,pokoknya rekomendasi lah
positif,baik
negatif,"aplikasi engga beres, kalau engga ada niat buat pengembalian dana atau return, engga usah di ganti juga gapapa, toh saya bisa hapus akun dan hapus aplikasi nya, kayak engga ada aplikasi lain saja, ribet banget banyak alasan, bikin capek pengajuan saja, kayak urusan saya cuman ngurusin hal beginian saja. engga toko nya, engga ekspedisi nya, engga aplikasi nya, sama saja engga beres nya. ya semoga engga berkah deh duit receh saya buat kalian. aplikasi merugikan konsumen/pembeli."
positif,Terimakasih shopee
positif,terbaik
negatif,tolong buat smooth sedikit aplikasi nya
